"Row"	"Gene ID"	"Gene Name"	"Score(d)"	"Numerator(r)"	"Denominator(s+s0)"	"Fold Change"	"q-value(%)"
"1"	"603"	"g602"	"1553099_at"	"2.01556443707464"	"65"	"32.2490309931942"	"3.95779708356483"	"0.0689840087841263"
"2"	"841"	"g840"	"1553422_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"3.69827313031213"	"0.0689840087841263"
"3"	"1042"	"g1041"	"1553683_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"3.37417799495144"	"0.0689840087841263"
"4"	"2863"	"g2862"	"1556216_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"3.49081931325546"	"0.0689840087841263"
"5"	"2970"	"g2969"	"1556378_a_at"	"2.01556443707464"	"65"	"32.2490309931942"	"8.68932334198627"	"0.0689840087841263"
"6"	"3499"	"g3498"	"1557203_at"	"2.01556443707464"	"65"	"32.2490309931942"	"4.02478639963904"	"0.0689840087841263"
"7"	"4421"	"g4420"	"1558795_at"	"2.01556443707464"	"65"	"32.2490309931942"	"5.43362689282999"	"0.0689840087841263"
"8"	"4422"	"g4421"	"1558796_a_at"	"2.01556443707464"	"65"	"32.2490309931942"	"7.31183883656373"	"0.0689840087841263"
"9"	"4582"	"g4581"	"1559067_a_at"	"2.01556443707464"	"65"	"32.2490309931942"	"5.36701511219577"	"0.0689840087841263"
"10"	"5174"	"g5173"	"1560109_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"5.21564574635721"	"0.0689840087841263"
"11"	"7774"	"g7773"	"1564841_at"	"2.01556443707464"	"65"	"32.2490309931942"	"8.40974342946456"	"0.0689840087841263"
"12"	"8101"	"g8100"	"1565936_a_at"	"2.01556443707464"	"65"	"32.2490309931942"	"3.51357855048301"	"0.0689840087841263"
"13"	"9970"	"g9969"	"200027_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.81297190437355"	"0.0689840087841263"
"14"	"9982"	"g9981"	"200039_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"3.4765944564222"	"0.0689840087841263"
"15"	"9984"	"g9983"	"200041_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.89464514671236"	"0.0689840087841263"
"16"	"9990"	"g9989"	"200047_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.4087808556536"	"0.0689840087841263"
"17"	"10000"	"g9999"	"200057_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"1.93289503832898"	"0.0689840087841263"
"18"	"10041"	"g10040"	"200098_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.55175663312088"	"0.0689840087841263"
"19"	"10075"	"g10074"	"200625_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.67033754254471"	"0.0689840087841263"
"20"	"10143"	"g10142"	"200693_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.5184356271524"	"0.0689840087841263"
"21"	"10147"	"g10146"	"200697_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.48833983179676"	"0.0689840087841263"
"22"	"10157"	"g10156"	"200707_at"	"2.01556443707464"	"65"	"32.2490309931942"	"4.12889637055585"	"0.0689840087841263"
"23"	"10161"	"g10160"	"200711_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.33118137881853"	"0.0689840087841263"
"24"	"10168"	"g10167"	"200718_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"3.86076537266698"	"0.0689840087841263"
"25"	"10196"	"g10195"	"200746_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.15291715310354"	"0.0689840087841263"
"26"	"10252"	"g10251"	"200802_at"	"2.01556443707464"	"65"	"32.2490309931942"	"3.50905599673844"	"0.0689840087841263"
"27"	"10272"	"g10271"	"200822_x_at"	"2.01556443707464"	"65"	"32.2490309931942"	"5.01238895568989"	"0.0689840087841263"
"28"	"10343"	"g10342"	"200893_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.5253087854558"	"0.0689840087841263"
"29"	"10368"	"g10367"	"200918_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"4.21891529490265"	"0.0689840087841263"
"30"	"10391"	"g10390"	"200941_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.28855396671681"	"0.0689840087841263"
"31"	"10431"	"g10430"	"200981_x_at"	"2.01556443707464"	"65"	"32.2490309931942"	"3.38072385198158"	"0.0689840087841263"
"32"	"10527"	"g10526"	"201077_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.32474309317155"	"0.0689840087841263"
"33"	"10542"	"g10541"	"201092_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.08214898838405"	"0.0689840087841263"
"34"	"10618"	"g10617"	"201168_x_at"	"2.01556443707464"	"65"	"32.2490309931942"	"10.4320685275572"	"0.0689840087841263"
"35"	"10703"	"g10702"	"201253_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.89558724080079"	"0.0689840087841263"
"36"	"10772"	"g10771"	"201322_at"	"2.01556443707464"	"65"	"32.2490309931942"	"4.32983140363553"	"0.0689840087841263"
"37"	"10795"	"g10794"	"201345_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"5.08291241833227"	"0.0689840087841263"
"38"	"10883"	"g10882"	"201433_s_at"	"2.01556443707464"	"65"	"32.2490309931942"	"1.82298952331045"	"0.0689840087841263"
"39"	"10884"	"g10883"	"201434_at"	"2.01556443707464"	"65"	"32.2490309931942"	"2.15735589231916"	"0.0689840087841263"
