"x"
"1"	6
"2"	10
"3"	15
"4"	26
"5"	28
"6"	43
"7"	44
"8"	45
"9"	49
"10"	50
"11"	53
"12"	71
"13"	82
"14"	84
"15"	95
"16"	97
"17"	104
"18"	108
"19"	115
"20"	119
"21"	128
"22"	141
"23"	150
"24"	152
"25"	153
"26"	154
"27"	161
"28"	162
"29"	169
"30"	173
"31"	176
"32"	177
"33"	179
"34"	182
"35"	198
"36"	201
"37"	202
"38"	204
"39"	208
"40"	212
"41"	213
"42"	226
"43"	231
"44"	233
"45"	240
"46"	250
"47"	251
"48"	256
"49"	257
"50"	260
"51"	264
"52"	275
"53"	281
"54"	282
"55"	284
"56"	294
"57"	309
"58"	319
"59"	321
"60"	322
"61"	324
"62"	328
"63"	330
"64"	342
"65"	370
"66"	373
"67"	382
"68"	386
"69"	388
"70"	391
"71"	405
"72"	411
"73"	424
"74"	437
"75"	439
"76"	443
"77"	446
"78"	448
"79"	454
"80"	456
"81"	457
"82"	463
"83"	487
"84"	498
"85"	507
"86"	519
"87"	526
"88"	530
"89"	539
"90"	543
"91"	550
"92"	579
"93"	580
"94"	582
"95"	594
"96"	601
"97"	603
"98"	614
"99"	619
"100"	629
"101"	637
"102"	643
"103"	645
"104"	652
"105"	654
"106"	691
"107"	695
"108"	708
"109"	711
"110"	720
"111"	729
"112"	733
"113"	739
"114"	751
"115"	756
"116"	759
"117"	764
"118"	788
"119"	791
"120"	795
"121"	803
"122"	804
"123"	805
"124"	812
"125"	815
"126"	819
"127"	830
"128"	841
"129"	844
"130"	846
"131"	849
"132"	854
"133"	856
"134"	857
"135"	861
"136"	867
"137"	870
"138"	871
"139"	872
"140"	882
"141"	890
"142"	895
"143"	900
"144"	911
"145"	918
"146"	923
"147"	945
"148"	954
"149"	955
"150"	968
"151"	969
"152"	973
"153"	979
"154"	981
"155"	986
"156"	993
"157"	998
"158"	1001
"159"	1003
"160"	1019
"161"	1025
"162"	1026
"163"	1029
"164"	1033
"165"	1040
"166"	1041
"167"	1042
"168"	1046
"169"	1048
"170"	1050
"171"	1052
"172"	1056
"173"	1061
"174"	1062
"175"	1063
"176"	1067
"177"	1083
"178"	1085
"179"	1088
"180"	1093
"181"	1100
"182"	1101
"183"	1104
"184"	1113
"185"	1121
"186"	1125
"187"	1140
"188"	1141
"189"	1149
"190"	1151
"191"	1152
"192"	1164
"193"	1183
"194"	1188
"195"	1207
"196"	1219
"197"	1227
"198"	1231
"199"	1238
"200"	1239
"201"	1243
"202"	1244
"203"	1248
"204"	1249
"205"	1253
"206"	1256
"207"	1263
"208"	1265
"209"	1267
"210"	1268
"211"	1271
"212"	1288
"213"	1292
"214"	1295
"215"	1300
"216"	1313
"217"	1315
"218"	1316
"219"	1318
"220"	1319
"221"	1322
