""	"Row"	"GeneID"	"GeneName"	"Score(d)"	"Numerator(r)"	"Denominator(s+s0)"	"FoldChange"	"q-value(%)"	"pvalues"	"fdr_bh"	"sig"
"29578"	NA	NA	NA	NA	NA	NA	NA	NA	0.7608669	0.8553241	"Non DEG"
"29579"	NA	NA	NA	NA	NA	NA	NA	NA	0.001717421	0.01329652	"Significant DEG"
"29580"	NA	NA	NA	NA	NA	NA	NA	NA	0.05791129	0.1617936	"Non DEG"
"29581"	NA	NA	NA	NA	NA	NA	NA	NA	0.1941728	0.3685738	"Non DEG"
"29582"	NA	NA	NA	NA	NA	NA	NA	NA	0.5425953	0.7050503	"Non DEG"
"29583"	NA	NA	NA	NA	NA	NA	NA	NA	0.01694467	0.06774771	"Significant DEG"
"29584"	NA	NA	NA	NA	NA	NA	NA	NA	0.9033251	0.9378368	"Non DEG"
"29585"	NA	NA	NA	NA	NA	NA	NA	NA	0.670193	0.7963749	"Non DEG"
"29586"	NA	NA	NA	NA	NA	NA	NA	NA	0.01141015	0.05126551	"Significant DEG"
"29587"	NA	NA	NA	NA	NA	NA	NA	NA	0.1358884	0.2911324	"Non DEG"
"29588"	NA	NA	NA	NA	NA	NA	NA	NA	0.7150892	0.8266206	"Non DEG"
"29589"	NA	NA	NA	NA	NA	NA	NA	NA	0.4638884	0.6405147	"Non DEG"
"29590"	NA	NA	NA	NA	NA	NA	NA	NA	0.5024746	0.673122	"Non DEG"
"29591"	NA	NA	NA	NA	NA	NA	NA	NA	0.001717421	0.01329652	"Significant DEG"
"29592"	NA	NA	NA	NA	NA	NA	NA	NA	0.670193	0.7963749	"Non DEG"
"29593"	NA	NA	NA	NA	NA	NA	NA	NA	0.6264701	0.7656872	"Non DEG"
"29594"	NA	NA	NA	NA	NA	NA	NA	NA	0.5024746	0.673122	"Non DEG"
"29595"	NA	NA	NA	NA	NA	NA	NA	NA	0.1046502	0.2443104	"Non DEG"
"29596"	NA	NA	NA	NA	NA	NA	NA	NA	0.9515354	0.9626096	"Non DEG"
"29597"	NA	NA	NA	NA	NA	NA	NA	NA	0.3266319	0.5155783	"Non DEG"
"29598"	NA	NA	NA	NA	NA	NA	NA	NA	2.103338e-05	0.0009489529	"Significant DEG"
"29599"	NA	NA	NA	NA	NA	NA	NA	NA	0.003701875	0.02293744	"Significant DEG"
